I;B
0;0.0
1;0.2965136194597104
2;0.5441826130721442
3;0.7510531457268187
4;0.9238459392720509
5;1.0681746124669214
6;1.1887280538391096
7;1.2894227523004131
8;1.3735300343721808
9;1.4437823416494937
10;1.5024620012011443
11;1.551475372840393
12;1.5924147821314876
13;1.6266102511851126
14;1.6551727078508416
15;1.6790300770684505
16;1.6989574268985592
17;1.7156021486040207
18;1.7295049888218232
19;1.7411176171097644
20;1.7508172995948734
21;1.7589191554348327
22;1.765686394275099
23;1.771338867291879
24;1.7760602096236013
25;1.780003806231164
